21:47:46.137 [http-nio-8080-exec-8] ERROR o.r.s.l.s.E.s.ReportServiceImpl - The report with this id does not exist or the file path is incorrect
21:47:46.140 [http-nio-8080-exec-8] ERROR o.r.s.l.s.E.e.EmployeeExceptionHandler - Not Found
21:47:50.981 [http-nio-8080-exec-7] ERROR o.r.s.l.s.E.s.ReportServiceImpl - The report with this id does not exist or the file path is incorrect
21:47:50.981 [http-nio-8080-exec-7] ERROR o.r.s.l.s.E.e.EmployeeExceptionHandler - Not Found
21:47:57.461 [http-nio-8080-exec-6] ERROR o.r.s.l.s.E.s.ReportServiceImpl - The report with this id does not exist or the file path is incorrect
21:47:57.462 [http-nio-8080-exec-6] ERROR o.r.s.l.s.E.e.EmployeeExceptionHandler - Not Found
21:48:39.772 [http-nio-8080-exec-10] ERROR o.r.s.l.s.E.s.ReportServiceImpl - The report with this id does not exist or the file path is incorrect
21:48:39.773 [http-nio-8080-exec-10] ERROR o.r.s.l.s.E.e.EmployeeExceptionHandler - Not Found
22:04:14.436 [http-nio-8080-exec-4] ERROR o.r.s.l.s.E.e.EmployeeExceptionHandler - Forbidden
22:11:45.844 [main] INFO  o.r.s.l.s.E.EmployeeApplication - Starting EmployeeApplication using Java 17.0.7 with PID 16348 (/Users/solnechnaya/Documents/SkyPro_Разработчик_Java/Блок 4. Spring/EmployeeApplication/target/classes started by solnechnaya in /Users/solnechnaya/Documents/SkyPro_Разработчик_Java/Блок 4. Spring/EmployeeApplication)
22:11:45.848 [main] INFO  o.r.s.l.s.E.EmployeeApplication - No active profile set, falling back to 1 default profile: "default"
22:11:46.877 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22:11:46.949 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 5 JPA repository interfaces.
22:11:47.486 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
22:11:47.495 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
22:11:47.496 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22:11:47.497 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
22:11:47.581 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22:11:47.581 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1687 ms
22:11:47.825 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22:11:47.891 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
22:11:47.894 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
22:11:48.056 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
22:11:48.198 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22:11:48.213 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22:11:48.361 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2abedbbd
22:11:48.363 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22:11:48.424 [main] INFO  org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$DialectResolutionInfoImpl@5788722f
22:11:48.658 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
22:11:49.400 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
22:11:49.491 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22:11:49.838 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
22:11:50.471 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
